what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1397936911701
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1397936924449
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1397936988404
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1397937022008
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1397937029856
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1397937029865
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1397937029886
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1397937030119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937057828
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1397937057905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937058429
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile6889156148633409554.jar",1397937059302
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile4485885186425169675.jar",1397937059302
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile6877952598326813477.jar",1397937059313
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile498034337098985174.jar",1397937059996
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile7005807739396710011.jar",1397937060136
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile1679429420918239660.jar",1397937060782
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile6104269649991970592.jar",1397937060803
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile2292404649841409281.jar",1397937061189
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile4626169747463413635.jar",1397937061734
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile3155565894457010802.jar",1397937061798
